,Text,Emotion,Flag,Category,Flag_type,,,,,,,,,,,,,,,,,,,,
,Are you comfortable?,Sad,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Can I kiss you? ,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Can you pick up some milk on your way home?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Could I get your thoughts on this project?,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Did you get a chance to fix the leaky faucet?,frustration,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you get a chance to look at that email I sent you?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you hear about the new restaurant that opened downtown? We should check it out.,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you pay the utility bill this month?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you remember to mail that letter I gave you?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you see the latest update on the news today?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Did you see the new episode of our favorite show? It was pretty interesting.,Happy,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do we have any leftovers in the fridge for lunch?,frustration,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do we have any plans for the holidays yet?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you have any plans for your birthday this year?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you have any preference for our dinner reservations next weekend?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,do you need a night out with the girls?,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Do you need anything while I'm at the store?,Normal,Green_Flag,respect_and_appreciation,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you need me to bring you anything? ,Normal,Green_Flag,respect_and_appreciation,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you prefer tea or coffee in the mornings?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you remember where we put the holiday decorations? I want to start setting them up.,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you think we should move in together?,Happy,Green_Flag,sexual_boundaries,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Do you want to go for a drive this evening?,Happy,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you want to go for a hike this Saturday?,Happy,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you want to play a board game tonight?,Happy,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,Do you want to watch a documentary tonight?,Normal,Green_Flag,neutral,Neutral,,,,,,,,,,,,,,,,,,,,
,"Even after breaking up, he never spoke ill of me.",Normal,Green_Flag,history_of_positive_relationships,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Feel free to share your thoughts with me.,Normal,Green_Flag,respect_and_appreciation,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,"Go back to college if you want, or don't if you don't want.",Normal,Green_Flag,freedom_and_support,Signs_of_Healthy_Relationship,,,,,,,,,,,,,,,,,,,,
,Go team!,Happy,Green_Flag,respect_and_appreciation,Neutral,,,,,,,,,,,,,,,,,,,,
